country,fullname,points,rank,region
France,ELIOTT GENIN,2268,135,Europe
Colombia,JULIAN SERNA,2290,136,South America
Finland,HENRIK HAAPALAINEN,2301,137,Europe
United States,KYLE KASPERBAUER,2309,138,North America
Austria,VICTOR SCHROEDER,2310,139,Europe
Russian Federation,IVAN KUKARTSEV,2317,140,Asia
United States,AUSTIN NEDELCOFF,2318,141,North America
Italy,LA ROBINA MICHELE,2327,142,Europe
United States,ERIC CARMODY,2329,143,North America
Canada,STEVE BRISCOE,2331,144,North America
United States,JEFF PATZER,2337,145,North America
United States,TRAVON BENTON,2344,146,North America
Mexico,NATANAEL PEREZ,2349,147,North America
Canada,DAVID CYR-MARANDA,2357,148,North America
Germany,HENDRIK SENF,2360,149,Europe
United States,JAMES MCLAUGHLAN,2397,150,North America
United States,COLBY THOMASON,2413,151,North America
Iceland,SIGURDUR JONSSON,2416,152,Europe
Sweden,SIMON MANTYLA,2453,153,Europe
United States,DAN BAILEY,2470,154,North America
United States,JASON CARROLL,2474,155,North America
United States,KEVIN STEINHAUS,2483,156,North America
United States,SEAN SWEENEY,2486,157,North America
Poland,PAWEL KOZAK,2497,158,Europe
United States,NIKLAS HECHT,2540,159,North America
Poland,MICHAL WESOLOWSKI,2570,160,Europe
Brazil,PABLO CHALFUN,2593,161,South America
Germany,MAXIMILIAN HENZE,2596,162,Europe
Italy,PIETRO ANDERLONI,2629,163,Europe
United States,JACOB PFAFF,2634,164,North America
Colombia,GIOVANNI OCAMPO,2634,164,South America
New Zealand,BEN FOWLER,2654,166,Oceania
Canada,STEPHEN JONES,2655,167,North America
Australia,ADAM MANSY,2659,168,Oceania
United States,ANGEL RODRIGUEZ,2660,169,North America
"Korea, Republic of",JOSHUA HONG,2671,170,Asia
United States,JAMES SPRAGUE,2672,171,North America
Spain,BRYAN HERNÁNDEZ,2731,172,Europe
United States,SPENCER AREY,2751,173,North America
Germany,MORITZ FIEBIG,2759,174,Europe
Argentina,DAN PAOLINI,2759,174,South America
United States,MARQUAN JONES,2765,176,North America
Italy,STEFANO ZUCCHIATTI,2788,177,Europe
France,JAISON LONGEARET,2797,178,Europe
United States,CHRISTIAN HARRIS,2826,179,North America
Sweden,MARCUS ERIXON,2833,180,Europe
United States,KEANU REDONGO,2852,181,North America
Sweden,PONTUS FORSBERG,2881,182,Europe
United States,ROSS BARR,2901,183,North America
Poland,JAKUB CIEŚLIK,2930,184,Europe
Poland,RADOSLAW WRECZYCKI,2931,185,Europe
United States,MATT DLUGOS,2951,186,North America
United Kingdom,ANDREW MCCOY,2960,187,Europe
Palestinian Territory,HAMZEH TAREFI,2965,188,Asia
United Kingdom,ZACK GEORGE,2982,189,Europe
Australia,MATT GILPIN,3021,190,Oceania
United States,ANDREW MARTIN,3029,191,North America
Switzerland,LUKAS ESSLINGER,3030,192,Europe
Croatia,AUGUSTIN VILIČNIK,3030,192,Europe
United States,GAGE HANNAH,3031,194,North America
United States,DYLAN MURRELL,3033,195,North America
Argentina,MAXIMILIANO ARIGOSSI,3062,196,South America
Greece,IOANNIS PAPADOPOULOS,3090,197,Europe
United States,GARRETT CLARK,3091,198,North America
Brazil,LUCAS ALMEIDA,3108,199,South America
United States,SERGIO BRICENO,3139,200,North America
United States,JOHN WOOD,3155,201,North America
Uruguay,SANTIAGO COMBA,3155,201,South America
Canada,MAXIME ROY DE SYLVA,3158,203,North America
United States,PARKER FOSTER,3159,204,North America
Spain,FERNANDO MARTIN,3173,205,Europe
United States,BEN SMITH,3207,206,North America
Germany,KEVIN WINKENS,3234,207,Europe
United States,CHRISTIAN RAMON,3244,208,North America
United States,ALEC SMITH,3257,209,North America
Russian Federation,MARSEL SHAKIROV,3269,210,Asia
Russian Federation,ALEKSANDR PLYUSHKIN,3281,211,Asia
Canada,MICHAEL LAVERRIERE,3286,212,North America
Brazil,THAINÃ TOMA,3311,213,South America
Hungary,KRISTÓF HORVÁTH,3314,214,Europe
France,ARTHUR SATIS,3320,215,Europe
United States,CAM CROCKETT,3322,216,North America
Mexico,IRVING HERNANDEZ,3323,217,North America
Greece,HERCULES BOULIOPOULOS,3352,218,Europe
Norway,KRISTOFFER WASMUTH,3365,219,Europe
Ireland,JAMIE HEADON,3365,219,Europe
Canada,THOMAS MARKHAUSER,3366,221,North America
Portugal,DAVID TRABULO,3375,222,Europe
"Korea, Republic of",GEUNJIN KIM,3381,223,Asia
United States,SAMUEL KWANT,3391,224,North America
United States,MITCH MCCLUNE,3403,225,North America
Italy,NICCOLÒ COLLI,3407,226,Europe
United States,SKYLER OCETNIK,3442,227,North America
Spain,JAVIER GONZÁLEZ FERNÁNDEZ,3455,228,Europe
Brazil,LUCAS DA ROSA,3466,229,South America
United States,LOGAN EWING,3473,230,North America
United States,EVAN ROGERS,3498,231,North America
Iceland,THROSTUR OLASON,3499,232,Europe
Estonia,KEVIN JURS,3501,233,Europe
United States,WILL MOORAD,3530,234,North America
Bosnia and Herzegovina,ĐORĐE ĐURIĆ,3532,235,Europe
United States,CASEY CRABLE,3538,236,North America
Sweden,TJAPPE GUSTAFSSON,3552,237,Europe
Denmark,LARS KRISTENSEN,3554,238,Europe
United States,JAMES HOWELL,3569,239,North America
United States,NICK ROBERTS,3579,240,North America
Spain,MARTÍN CUERVO,3596,241,Europe
United States,TUCKER MCLEMORE,3596,241,North America
United States,JORDAN TROYAN,3606,243,North America
Brazil,BRUNO MARINS,3608,244,South America
United States,JUSTIN AHRENS,3616,245,North America
Canada,STORM PATTERSON,3630,246,North America
United States,JOHN-PAUL HETHCOCK,3636,247,North America
Mexico,ROLDAN GOLDBAUM,3642,248,North America
